#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Temperature (°C)
Brugia malayi,Eukaryota;Animals;Roundworms,FR3,SAMEA3146321,PRJNA10729,GCA_000002995.5,Scaffold,87.1557,28.5,,CAAKNF01,196,14388,2019-05-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/995/GCA_000002995.5_B_malayi-4.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.4_B_malayi-4.0,
Aedes aegypti,Eukaryota;Animals;Insects,LVP_AGWG,SAMN07177802,PRJNA392114,GCA_002204515.1, Chromosome,1278.73,38.1667,chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1,NIGP01,2310,28317,2017-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0,
Aedes albopictus,Eukaryota;Animals;Insects,FPA,SAMN11317331,PRJNA552090,GCA_006496715.1,Scaffold,2538.39,40.3999,mitochondrion MT:NC_006817.1/,SWKY01,2197,40086,2019-06-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/496/715/GCA_006496715.1_Aalbo_primary.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/496/715/GCF_006496715.1_Aalbo_primary.1,
Anopheles gambiae str. PEST,Eukaryota;Animals;Insects,PEST,SAMN02952903,PRJNA1438,GCA_000005575.1, Chromosome,265.027,44.5151,chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/,AAAB01,8145,14102,2002-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3,
Apis mellifera,Eukaryota;Animals;Insects,DH4,SAMN09259743,PRJNA477511,GCA_003254395.2, Chromosome,225.251,32.6352,linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2,QIUM02,177,23471,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1,
Ciona intestinalis,Eukaryota;Animals;Other Animals,,,PRJDA65419,GCA_000224145.2, Chromosome,115.227,36.0239,chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_017929.1/HT000188.1,EAAA01,1280,21099,2011-04-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/145/GCA_000224145.2_KH,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.3_KH,
Aspergillus terreus NIH2624,Eukaryota;Fungi;Ascomycetes,NIH2624,SAMN02953635,PRJNA15631,GCA_000149615.1,Scaffold,29.364,52.8,,AAJN01,27,10401,2005-09-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/615/GCA_000149615.1_ASM14961v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/615/GCF_000149615.1_ASM14961v1,24
Thalassiosira pseudonana CCMP1335,Eukaryota;Other;Other,CCMP1335,SAMN02744045,PRJNA191,GCA_000149405.2, Chromosome,32.4374,46.905,chromosome 1:NC_012064.1/CM000638.1; chromosome 2:NC_012065.1/CM000639.1; chromosome 3:NC_012066.1/CM000640.1; chromosome 4:NC_012067.1/CM000641.1; chromosome 5:NC_012068.1/CM000642.1; chromosome 6:NC_012069.1/CM000643.1; chromosome 7:NC_012070.1/CP001160.1; chromosome 8:NC_012071.1/CM000644.1; chromosome 9:NC_012072.1/CM000645.1; chromosome 10:NC_012073.1/CM000646.1; chromosome 12:NC_012075.1/CM000647.1; chromosome 13:NC_012076.1/CM000648.1; chromosome 14:NC_012077.1/CM000649.1; chromosome 15:NC_012078.1/CM000650.1; chromosome 17:NC_012080.1/CM000651.1; chromosome 18:NC_012081.1/CP001159.1; chromosome 20:NC_012083.1/CM000652.1; chromosome 22:NC_012085.1/CM000653.1; chromosome 23:NC_012086.1/CM000654.1; chromosome 24:NC_012087.1/CM000655.1,AAFD02,64,11673,2004-10-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/405/GCA_000149405.2_ASM14940v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/405/GCF_000149405.2_ASM14940v2,
Glossina morsitans morsitans,Eukaryota;Animals;Insects,Yale,SAMEA3146294,PRJEA59499,GCA_001077435.1,Contig,363.107,34.1,,CCAG01,24071,0,2014-03-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/435/GCA_001077435.1_ASM107743v1,,
Dictyostelium discoideum AX4,Eukaryota;Protists;Other Protists,AX4,SAMN02953606,PRJNA201,GCA_000004695.1, Chromosome,34.205,22.4631,chromosome 1:NC_007087.3/CM000150.2; chromosome 2:NC_007088.5/CM000151.3; chromosome 3:NC_007089.4/CM000152.2; chromosome 4:NC_007090.3/CM000153.2; chromosome 5:NC_007091.3/CM000154.2; chromosome 6:NC_007092.3/CM000155.2; plasmid Ddp5:NC_001889.1/; mitochondrion MT:NC_000895.1/,AAFI02,41,13315,2005-03-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/695/GCA_000004695.1_dicty_2.7,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7,24
Guillardia theta CCMP2712,Eukaryota;Other;Other,CCMP2712,SAMN00116900,PRJNA53577,GCA_000315625.1,Scaffold,87.1453,52.9,,AEIE01,669,24822,2012-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/625/GCA_000315625.1_Guith1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1,
Fusarium graminearum PH-1,Eukaryota;Fungi;Ascomycetes,PH-1; NRRL 31084,SAMN02953593,PRJNA13839,GCA_000240135.3, Chromosome,36.458,48.3278,chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1,AACM02,31,13313,2003-05-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3,25
Saccharomyces bayanus,Eukaryota;Fungi;Ascomycetes,FM677,SAMN19865370,PRJNA741321,GCA_019431265.1,Complete,12.2277,40.0693,chromosome I:CP080204.1; chromosome II:CP080205.1; chromosome III:CP080206.1; chromosome IV:CP080207.1; chromosome V:CP080208.1; chromosome VI:CP080209.1; chromosome VII:CP080210.1; chromosome VIII:CP080211.1; chromosome IX:CP080212.1; chromosome X:CP080213.1; chromosome XI:CP080214.1; chromosome XII:CP080215.1; chromosome XIII:CP080216.1; chromosome XIV:CP080217.1; chromosome XV:CP080218.1; chromosome XVI:CP080219.1; chromosome XVII:CP080220.1; mitochondrion MT:CP080221.1,,18,0,2021-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/265/GCA_019431265.1_ASM1943126v1,,25
Saccharomyces mikatae IFO 1815,Eukaryota;Fungi;Ascomycetes,IFO 1815,SAMN02953585,PRJNA374,GCA_000166975.1,Contig,11.4703,38,,AABZ01,1648,0,2003-03-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/975/GCA_000166975.1_ASM16697v1,,25
Cryptococcus neoformans var. neoformans JEC21,Eukaryota;Fungi;Basidiomycetes,JEC21,SAMN03081418,PRJNA13856,GCA_000091045.1, Chromosome,19.0519,48.5368,chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1,,14,6863,2005-01-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/045/GCF_000091045.1_ASM9104v1,27
Pyricularia oryzae 70-15,Eukaryota;Fungi;Ascomycetes,70-15,SAMN02953596,PRJNA13840,GCA_000002495.2, Chromosome,40.9791,51.5882,chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1,AACU03,53,12989,2003-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/495/GCA_000002495.2_MG8,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8,24
Takifugu rubripes,Eukaryota;Animals;Fishes,,SAMEA104384834,PRJEB31988,GCA_901000725.2, Chromosome,384.127,45.6992,chromosome 1:NC_042285.1/LR584231.2; chromosome 2:NC_042286.1/LR584245.2; chromosome 3:NC_042287.1/LR584237.1; chromosome 4:NC_042288.1/LR584242.2; chromosome 5:NC_042289.1/LR584247.1; chromosome 6:NC_042290.1/LR584250.1; chromosome 7:NC_042291.1/LR584238.1; chromosome 8:NC_042292.1/LR584234.2; chromosome 9:NC_042293.1/LR584246.2; chromosome 10:NC_042294.1/LR584251.2; chromosome 11:NC_042295.1/LR584241.1; chromosome 12:NC_042296.1/LR584248.2; chromosome 13:NC_042297.1/LR584232.1; chromosome 14:NC_042298.1/LR584244.1; chromosome 15:NC_042299.1/LR584240.2; chromosome 16:NC_042300.1/LR584249.2; chromosome 17:NC_042301.1/LR584239.2; chromosome 18:NC_042302.1/LR584252.2; chromosome 19:NC_042303.1/LR584235.1; chromosome 20:NC_042304.1/LR584236.2; chromosome 21:NC_042305.1/LR584233.2; chromosome 22:NC_042306.1/LR584243.1; mitochondrion MT:NC_004299.1/,CAAJGN02,128,46760,2019-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/000/725/GCA_901000725.2_fTakRub1.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/000/725/GCF_901000725.2_fTakRub1.2,
Ciona savignyi,Eukaryota;Animals;Other Animals,,SAMN02952906,PRJNA1435,GCA_000149265.1,Scaffold,587.353,37.5,,AACT01,34009,0,2003-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/265/GCA_000149265.1_ASM14926v1,,
Plasmodium yoelii,Eukaryota;Protists;Apicomplexans,17X,SAMEA1032065,PRJNA317465,GCA_900002385.2,Complete,23.0835,21.7373,chromosome 1:NC_036173.2/LM993655.2; chromosome 2:NC_036174.2/LM993656.2; chromosome 3:NC_036175.2/LM993657.2; chromosome 4:NC_036176.2/LM993658.2; chromosome 5:NC_036177.2/LM993659.2; chromosome 6:NC_036178.2/LM993660.2; chromosome 7:NC_036179.2/LM993661.2; chromosome 8:NC_036180.2/LM993662.2; chromosome 9:NC_036181.2/LM993663.2; chromosome 10:NC_036182.2/LM993664.2; chromosome 11:NC_036183.2/LM993665.2; chromosome 12:NC_036184.2/LM993666.2; chromosome 13:NC_036185.2/LM993667.2; chromosome 14:NC_036186.2/LM993668.2; mitochondrion MIT:NW_019223694.1/LM993670.2; apicoplast API:NW_019223693.1/LM993669.2,,16,6039,2014-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/385/GCA_900002385.2_GCA_900002385,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385,
Saccharomyces paradoxus,Eukaryota;Fungi;Ascomycetes,CBS432,SAMEA2757769,PRJNA625777,GCA_002079055.1, Chromosome,12.0928,38.562,chromosome I:NC_047487.1/CP020242.1; chromosome II:NC_047488.1/CP020243.1; chromosome III:NC_047489.1/CP020244.1; chromosome IV:NC_047490.1/CP020245.1; chromosome V:NC_047491.1/CP020246.1; chromosome VI:NC_047492.1/CP020247.1; chromosome VII:NC_047493.1/CP020248.1; chromosome VIII:NC_047494.1/CP020249.1; chromosome IX:NC_047495.1/CP020250.1; chromosome X:NC_047496.1/CP020251.1; chromosome XI:NC_047497.1/CP020252.1; chromosome XII:NC_047498.1/CP020253.1; chromosome XIII:NC_047499.1/CP020254.1; chromosome XIV:NC_047500.1/CP020255.1; chromosome XV:NC_047501.1/CP020256.1; chromosome XVI:NC_047502.1/CP020257.1; mitochondrion MT:NC_018044.1/CP020258.1,,17,5542,2017-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/079/055/GCA_002079055.1_ASM207905v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/079/055/GCF_002079055.1_ASM207905v1,25
Saccharomyces kudriavzevii,Eukaryota;Fungi;Ascomycetes,CR85,SAMN09650452,PRJNA480800,GCA_003327635.1, Chromosome,11.8514,39.6269,chromosome I:CP030962.1; chromosome II:CP030963.1; chromosome III:CP030964.1; chromosome IV:CP030965.1; chromosome V:CP030966.1; chromosome VI:CP030967.1; chromosome VII:CP030968.1; chromosome VIII:CP030969.1; chromosome IX:CP030970.1; chromosome X:CP030971.1; chromosome XI:CP030972.1; chromosome XII:CP030973.1; chromosome XIII:CP030974.1; chromosome XIV:CP030975.1; chromosome XV:CP030976.1; chromosome XVI:CP030977.1; mitochondrion MT:CP030978.1,,17,0,2018-07-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/327/635/GCA_003327635.1_ASM332763v1,,25
Naumovozyma castellii CBS 4309,Eukaryota;Fungi;Ascomycetes,type strain:CBS 4309,SAMEA2271985,PRJEA70625,GCA_000237345.1, Chromosome,11.2195,36.7559,chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1,,10,5589,2011-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/345/GCA_000237345.1_ASM23734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/345/GCF_000237345.1_ASM23734v1,25
Lachancea kluyveri NRRL Y-12651,Eukaryota;Fungi;Ascomycetes,NRRL Y-12651,SAMN02953588,PRJNA1445,GCA_000149225.2, Chromosome,11.5389,41.5823,chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1,AACE03,34,0,2003-05-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/225/GCA_000149225.2_ASM14922v2,,25
Ustilago maydis 521,Eukaryota;Fungi;Basidiomycetes,521,SAMN02900459,PRJNA1446,GCA_000328475.2, Chromosome,19.6644,54.0121,chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1,AACP02,27,6782,2003-07-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/475/GCA_000328475.2_Umaydis521_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0,25
Coprinopsis cinerea okayama7#130,Eukaryota;Fungi;Basidiomycetes,okayama7#130,SAMN02953595,PRJNA1447,GCA_000182895.1,Contig,36.1926,51.6,,AACS02,68,13356,2003-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/895/GCA_000182895.1_CC3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/895/GCF_000182895.1_CC3,25
Rattus norvegicus,Eukaryota;Animals;Mammals,BN/NHsdMcwi,SAMN16261960,PRJNA677964,GCA_015227675.2, Chromosome,2647.92,42.0588,chromosome 1:NC_051336.1/CM026974.1; chromosome 2:NC_051337.1/CM026975.1; chromosome 3:NC_051338.1/CM026976.1; chromosome 4:NC_051339.1/CM026977.1; chromosome 5:NC_051340.1/CM026978.1; chromosome 6:NC_051341.1/CM026979.1; chromosome 7:NC_051342.1/CM026980.1; chromosome 8:NC_051343.1/CM026981.1; chromosome 9:NC_051344.1/CM026982.1; chromosome 10:NC_051345.1/CM026983.1; chromosome 11:NC_051346.1/CM026984.1; chromosome 12:NC_051347.1/CM026985.1; chromosome 13:NC_051348.1/CM026986.1; chromosome 14:NC_051349.1/CM026987.1; chromosome 15:NC_051350.1/CM026988.1; chromosome 16:NC_051351.1/CM026989.1; chromosome 17:NC_051352.1/CM026990.1; chromosome 18:NC_051353.1/CM026991.1; chromosome 19:NC_051354.1/CM026992.1; chromosome 20:NC_051355.1/CM026993.1; chromosome X:NC_051356.1/CM026994.1; chromosome Y:NC_051357.1/CM026995.1; mitochondrion MT:AY172581.1,JACYVU01,176,74754,2020-11-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/675/GCA_015227675.2_mRatBN7.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/227/675/GCF_015227675.2_mRatBN7.2,
Eremothecium gossypii ATCC 10895,Eukaryota;Fungi;Ascomycetes,ATCC 10895,SAMN03081415,PRJNA13834,GCA_000091025.4,Complete,9.11931,51.6989,chromosome I:NC_005782.2/AE016814.2; chromosome II:NC_005783.5/AE016815.5; chromosome III:NC_005784.3/AE016816.3; chromosome IV:NC_005785.6/AE016817.6; chromosome V:NC_005786.2/AE016818.2; chromosome VI:NC_005787.5/AE016819.5; chromosome VII:NC_005788.4/AE016820.4; mitochondrion MT:NC_005789.1/AE016821.1,,8,4776,2004-03-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/025/GCA_000091025.4_ASM9102v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/025/GCF_000091025.4_ASM9102v4,25
Branchiostoma floridae,Eukaryota;Animals;Other Animals,S238N-H82,SAMN02953694,PRJNA20249,GCA_000003815.2, Chromosome,513.461,41.7036,chromosome 1:NC_049979.1/CM022886.1; chromosome 2:NC_049980.1/CM022887.1; chromosome 3:NC_049981.1/CM022888.1; chromosome 4:NC_049982.1/CM022889.1; chromosome 5:NC_049983.1/CM022890.1; chromosome 6:NC_049984.1/CM022891.1; chromosome 7:NC_049985.1/CM022892.1; chromosome 8:NC_049986.1/CM022893.1; chromosome 9:NC_049987.1/CM022894.1; chromosome 10:NC_049988.1/CM022895.1; chromosome 11:NC_049989.1/CM022896.1; chromosome 12:NC_049990.1/CM022897.1; chromosome 13:NC_049991.1/CM022898.1; chromosome 14:NC_049992.1/CM022899.1; chromosome 15:NC_049993.1/CM022900.1; chromosome 16:NC_049994.1/CM022901.1; chromosome 17:NC_049995.1/CM022902.1; chromosome 18:NC_049996.1/CM022903.1; chromosome 19:NC_049997.1/CM022904.1; mitochondrion MT:NC_000834.1/,ABEP03,432,43041,2008-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.2_Bfl_VNyyK,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK,
Bombyx mori,Eukaryota;Animals;Insects,p50T,SAMD00054089,PRJDB4947,GCA_014905235.2, Chromosome,460.35,38.5538,chromosome 1:NC_051358.1/BHWX01000001.1; chromosome 2:NC_051359.1/BHWX01000002.1; chromosome 3:NC_051360.1/BHWX01000003.1; chromosome 4:NC_051361.1/BHWX01000004.1; chromosome 5:NC_051362.1/BHWX01000005.1; chromosome 6:NC_051363.1/BHWX01000006.1; chromosome 7:NC_051364.1/BHWX01000007.1; chromosome 8:NC_051365.1/BHWX01000008.1; chromosome 9:NC_051366.1/BHWX01000009.1; chromosome 10:NC_051367.1/BHWX01000010.1; chromosome 11:NC_051368.1/BHWX01000011.1; chromosome 12:NC_051369.1/BHWX01000012.1; chromosome 13:NC_051370.1/BHWX01000013.1; chromosome 14:NC_051371.1/BHWX01000014.1; chromosome 15:NC_051372.1/BHWX01000015.1; chromosome 16:NC_051373.1/BHWX01000016.1; chromosome 17:NC_051374.1/BHWX01000017.1; chromosome 18:NC_051375.1/BHWX01000018.1; chromosome 19:NC_051376.1/BHWX01000019.1; chromosome 20:NC_051377.1/BHWX01000020.1; chromosome 21:NC_051378.1/BHWX01000021.1; chromosome 22:NC_051379.1/BHWX01000022.1; chromosome 23:NC_051380.1/BHWX01000023.1; chromosome 24:NC_051381.1/BHWX01000024.1; chromosome 25:NC_051382.1/BHWX01000025.1; chromosome 26:NC_051383.1/BHWX01000026.1; chromosome 27:NC_051384.1/BHWX01000027.1; chromosome 28:NC_051385.1/BHWX01000028.1; mitochondrion MT:NC_002355.1/,BHWX01,697,27309,2020-10-13T21:24:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/235/GCA_014905235.2_Bmori_2016v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/905/235/GCF_014905235.1_Bmori_2016v1.0,
Coffea arabica,Eukaryota;Plants;Land Plants,CCC135-36,SAMN10272287,PRJNA506972,GCA_003713225.1, Chromosome,1094.45,36.9585,chromosome 1c:NC_039898.1/CM011106.1; chromosome 1e:NC_039899.1/CM011107.1; chromosome 2c:NC_039900.1/CM011108.1; chromosome 2e:NC_039901.1/CM011109.1; chromosome 3c:NC_039902.1/CM011110.1; chromosome 3e:NC_039903.1/CM011111.1; chromosome 4c:NC_039904.1/CM011112.1; chromosome 4e:NC_039905.1/CM011113.1; chromosome 5e:NC_039906.1/CM011115.1; chromosome 5c:NC_039907.1/CM011114.1; chromosome 6c:NC_039908.1/CM011116.1; chromosome 6e:NC_039909.1/CM011117.1; chromosome 7c:NC_039910.1/CM011118.1; chromosome 7e:NC_039911.1/CM011119.1; chromosome 8e:NC_039912.1/CM011121.1; chromosome 8c:NC_039913.1/CM011120.1; chromosome 9c:NC_039914.1/CM011122.1; chromosome 9e:NC_039915.1/CM011123.1; chromosome 10e:NC_039916.1/CM011103.1; chromosome 10c:NC_039917.1/CM011102.1; chromosome 11c:NC_039918.1/CM011104.1; chromosome 11e:NC_039919.1/CM011105.1; chloroplast Pltd:NC_008535.1/,RHJU01,2833,67222,2018-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/225/GCA_003713225.1_Cara_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/225/GCF_003713225.1_Cara_1.0,
Felis catus,Eukaryota;Animals;Mammals,Cinnamon,SAMN02953640,PRJNA16726,GCA_000181335.4, Chromosome,2521.86,41.8806,chromosome A1:NC_018723.3/CM001378.3; chromosome A2:NC_018724.3/CM001379.3; chromosome A3:NC_018725.3/CM001380.3; chromosome B1:NC_018726.3/CM001381.3; chromosome B2:NC_018727.3/CM001382.3; chromosome B3:NC_018728.3/CM001383.3; chromosome B4:NC_018729.3/CM001384.3; chromosome C1:NC_018730.3/CM001385.3; chromosome C2:NC_018731.3/CM001386.3; chromosome D1:NC_018732.3/CM001387.3; chromosome D2:NC_018733.3/CM001388.3; chromosome D3:NC_018734.3/CM001389.3; chromosome D4:NC_018735.3/CM001390.3; chromosome E1:NC_018736.3/CM001391.3; chromosome E2:NC_018737.3/CM001392.3; chromosome E3:NC_018738.3/CM001393.3; chromosome F1:NC_018739.3/CM001394.3; chromosome F2:NC_018740.3/CM001395.3; chromosome X:NC_018741.3/CM001396.3; mitochondrion MT:NC_001700.1/,AANG04,4525,54726,2006-04-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/335/GCA_000181335.4_Felis_catus_9.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/335/GCF_000181335.3_Felis_catus_9.0,
